density[kg.m-2], linear warp[SI*1e9], linear weft[SI*1e9], linear diag[SI*1e9], nonlinear warp[SI*1e12], nonlinear weft[SI*1e12], nonlinear diag[SI*1e12]
0.8703, 198890.7, 123018.4, 62952.9, -936374.1, -586052.0, -231631.1
0.1261, 3724.5, 3107.0, 3419.4, -5829.1, -5904.1, -7447.5
0.4494, 64247.3, 38362.0, 55512.6, -1122487.5, -26571.7, -139741.8
0.2422, 37231.1, 9990.1, 22694.5, -92159.1, -34291.4, -40131.8
0.3745, 52504.6, 19817.4, 29662.5, -213840.4, -43355.3, -74690.0
0.2502, 18356.8, 15020.0, 14471.9, -40007.0, -49736.0, -36612.1
0.4239, 24854.6, 15125.6, 17842.7, -22852.9, -40001.1, -33736.6
0.1481, 7958.4, 5799.7, 10541.5, -14929.2, -14227.6, -17166.5
0.3685, 31723.3, 12353.5, 17883.7, -59470.9, -21791.7, -92971.0
0.1253, 6502.0, 2541.5, 9132.9, -13178.1, -3505.6, -14367.3
0.0255, 2414.4, 669.5, 601.5, -3152.2, -754.4, -2206.5
0.4104, 6263.8, 6207.1, 4327.5, -11450.4, -6323.1, -9373.7
0.2101, 11279.7, 27876.0, 31793.9, -38524.2, -78886.2, -133472.7
0.2672, 52088.4, 23398.5, 24342.7, 50701.9, -51642.7, -71494.5
0.0153, 924.2, 456.9, 630.7, -4815.5, -2433.3, -3399.6
0.1504, 8615.2, 4998.3, 6701.4, -40055.6, -23166.7, -14688.7
0.0625, 1104.3, 3464.5, 1326.5, -5252.9, -2726.7, -2341.6
0.1594, 13063.4, 10613.8, 5099.4, -38114.6, -20814.2, -13203.3
0.1069, 3092.2, 3192.2, 1723.7, -2337.3, -7672.2, -3605.2
0.2883, 34076.3, 49213.5, 30781.7, -58731.8, -100246.9, -105058.3
0.0607, 2238.6, 2921.4, 3141.3, -11044.5, -3330.1, -5807.9
0.4494, 64247.3, 38362.0, 55512.6, -1122487.5, -26571.7, -139741.8
0.3191, 29846.8, 28094.1, 35537.4, -173507.1, -125671.3, -110553.2
0.0153, 924.2, 456.9, 630.7, -4815.5, -2433.3, -3399.6
0.4943, 122816.3, 30502.1, 55451.0, -418480.6, -101944.2, -202785.6
0.0911, 11358.6, 9899.3, 9861.1, -15892.5, -30792.4, -55119.6
0.2678, 19693.9, 29945.4, 75085.9, -156641.1, -114651.2, -157489.0
0.0338, 1175.2, 825.5, 329.9, -1618.7, -1378.9, -768.3
0.0604, 33479.0, 4057.1, 10634.9, -113052.8, -31447.7, -101178.0
0.2678, 19693.9, 29945.4, 75085.9, -156641.1, -114651.2, -157489.0
0.4867, 75002.7, 32823.2, 27989.3, -349251.8, -225369.5, -133777.0
0.0585, 2977.0, 4967.1, 6618.1, -8851.2, -4005.1, -18208.3
0.1730, 8386.7, 4799.0, 9376.8, -26851.0, -13241.9, -14742.2
0.2502, 18356.8, 15020.0, 14471.9, -40007.0, -49736.0, -36612.1
0.0647, 5047.3, 2217.0, 5146.8, -10404.3, -2953.4, -10981.0
0.4104, 6263.8, 6207.1, 4327.5, -11450.4, -6323.1, -9373.7
0.2318, 48758.8, 23818.1, 41917.6, -135593.8, -98732.3, -135300.0
0.4104, 6263.8, 6207.1, 4327.5, -11450.4, -6323.1, -9373.7
0.6487, 51455.9, 59069.5, 77532.1, -60178.9, -200711.1, -98194.3
0.0922, 821.3, 537.4, 369.8, -753.9, -744.4, -516.3
0.3653, 34612.5, 48611.8, 32762.7, -72072.9, -111855.6, -178764.3
0.0602, 4493.3, 17166.8, 9693.1, -34139.2, -22219.7, -16867.3
0.2052, 30017.5, 13650.3, 20575.3, -63688.9, -18361.7, -47085.7
0.0752, 3095.6, 2780.6, 14530.9, -16976.2, -14509.9, -47644.4
0.1288, 8637.8, 12934.8, 8971.1, -39483.8, -47158.5, -42804.4
0.4239, 24854.6, 15125.6, 17842.7, -22852.9, -40001.1, -33736.6
0.0289, 336.7, 223.0, 559.3, -544.5, -570.4, -419.0
0.5533, 34129.7, 8403.7, 41749.8, -111756.9, -30471.5, -73768.0
0.3730, 18747.1, 16635.5, 26650.5, -133257.9, -24486.5, -29660.4
0.0974, 1138.4, 1899.0, 1678.1, -2864.9, -2786.4, -3769.2
0.3181, 104376.6, 41232.5, 41299.1, -391043.1, -113261.0, -128747.4
0.4773, 32775.9, 22098.3, 15268.1, -111201.1, -119122.9, -41094.6
0.3158, 97682.8, 16469.7, 35741.4, -349470.1, -43305.4, -172151.7
0.2354, 16125.7, 1858.9, 9158.0, -65229.2, -5841.2, -36202.1
0.6918, 144235.7, 37562.9, 37880.5, -223154.6, -211036.6, -41588.8
0.0153, 924.2, 456.9, 630.7, -4815.5, -2433.3, -3399.6
